time,pitch_1 (°),roll_1 (°),range_1 (mm),pitch_2 (°),roll_2 (°),range_2 (mm)
2025/4/14 11:43:49,61.81,81.19,30,86.1,-55.88,9
2025/4/14 11:43:52,62.99,81.71,28,86.09,-55.08,9
2025/4/14 11:43:55,64.78,81.55,28,86.51,-54.3,9
2025/4/14 11:43:58,62.82,81.38,29,86.19,-53.49,9
2025/4/14 11:44:01,63.71,81.44,29,86.22,-53.31,8
2025/4/14 11:44:04,77.8,88.66,28,86.48,-49.3,7
2025/4/14 11:44:07,37.59,77.5,19,87.91,-54.66,9
2025/4/14 11:44:10,38.9,77.92,20,86.93,-39.35,8
2025/4/14 11:44:13,51.31,80.4,23,86.82,-38.07,9
2025/4/14 11:44:16,-40.82,70.19,21,87.09,-34.3,8
2025/4/14 11:44:19,25.57,48.4,22,87.86,-38.09,9
2025/4/14 11:44:22,52.08,-38.34,8,87.87,-4.49,10
2025/4/14 11:44:25,34.64,-3.9,9,87.88,-6.81,11
2025/4/14 11:44:28,34.79,-5.37,9,88.12,-6.41,12
2025/4/14 11:44:31,34.38,-6.13,9,87.96,-4.62,10
2025/4/14 11:44:34,34.99,-8.15,10,88.09,-4.78,9
2025/4/14 11:44:37,34.96,-8.15,11,87.98,-6.21,9
2025/4/14 11:44:40,35.06,-8.15,11,87.89,-4.43,10
2025/4/14 11:44:43,34.99,-8.35,11,87.99,-6.94,8
2025/4/14 11:44:46,35.04,-8.49,12,87.97,-6.29,9
2025/4/14 11:44:49,35.08,-8.42,13,87.91,-6.3,8
2025/4/14 11:44:52,35.17,-8.6,12,87.95,-7.18,9
2025/4/14 11:44:55,35.06,-8.71,12,87.93,-6.31,10
2025/4/14 11:44:58,35.04,-8.73,12,87.98,-7.03,10
2025/4/14 11:45:01,35,-8.82,13,87.93,-4.42,10
2025/4/14 11:45:04,35.21,-8.91,10,87.97,-5.96,11
2025/4/14 11:45:07,35.14,-8.92,12,87.91,-4.35,10
2025/4/14 11:45:10,35.2,-8.98,12,88.04,-4.44,11
2025/4/14 11:45:13,35.19,-9.17,11,87.96,-4.64,10
2025/4/14 11:45:16,35.17,-8.96,11,87.88,-3.67,9
2025/4/14 11:45:19,35.18,-9.3,11,87.97,-3.24,11
2025/4/14 11:45:22,35.14,-9.22,13,87.98,-5.51,8
2025/4/14 11:45:25,35.03,-9.26,14,87.98,-6.48,11
2025/4/14 11:45:28,35.26,-9.21,11,88.03,-4.25,11
2025/4/14 11:45:31,35.24,-9.46,11,87.92,-5.17,9
2025/4/14 11:45:34,35.22,-9.53,11,87.97,-3.39,10
2025/4/14 11:45:37,35.18,-9.44,10,87.98,-3.97,10
2025/4/14 11:45:40,35.23,-9.36,10,88.03,-5.38,11
2025/4/14 11:45:43,35.23,-9.48,12,87.97,-4.68,12
2025/4/14 11:45:46,35.19,-9.49,11,88.02,-5.77,9
2025/4/14 11:45:49,35.34,-9.63,11,87.96,-3.08,11
2025/4/14 11:45:52,35.23,-9.48,11,88.09,-5.08,11
2025/4/14 11:45:55,35.37,-9.6,11,88.04,-3.83,11
2025/4/14 11:45:58,35.84,-11.42,12,87.95,-2.5,11
2025/4/14 11:46:01,35.73,-10.62,13,87.86,-4.78,11
2025/4/14 11:46:04,35.57,-10.78,10,87.97,-3.2,11
2025/4/14 11:46:07,35.63,-10.78,11,88.19,-0.66,9
2025/4/14 11:46:10,35.7,-10.83,14,87.87,-5.91,10
2025/4/14 11:46:13,35.75,-10.89,14,87.93,-1.84,9
2025/4/14 11:46:16,35.63,-10.98,13,88.03,-1.89,10
2025/4/14 11:46:19,35.61,-10.84,13,88.02,-2.06,12
2025/4/14 11:46:22,35.7,-10.88,13,87.97,-3,10
2025/4/14 11:46:25,35.7,-10.9,13,88.17,-5.15,11
2025/4/14 11:46:28,35.73,-10.78,11,87.99,-2.26,13
2025/4/14 11:46:31,35.73,-10.94,12,88.01,-3.33,10
2025/4/14 11:46:34,35.73,-10.77,13,88.02,-1.18,11
2025/4/14 11:46:37,35.7,-10.92,11,87.89,-2.67,10
2025/4/14 11:46:40,35.79,-11.74,11,87.94,-3.16,10
2025/4/14 11:46:43,35.77,-11.05,12,88.05,-0.96,11
2025/4/14 11:46:46,35.65,-10.96,11,87.97,-3.27,10
2025/4/14 11:46:49,35.84,-11.11,12,87.91,-2.7,13
2025/4/14 11:46:52,35.76,-11,13,88.14,-2.73,10
2025/4/14 11:46:55,35.79,-11.24,11,88.04,-1.32,12
2025/4/14 11:46:58,35.84,-10.99,13,88.07,1.03,9
2025/4/14 11:47:01,35.81,-11.03,11,88.07,-1.54,12
2025/4/14 11:47:04,35.74,-11.13,13,87.95,-1.14,12
2025/4/14 11:47:07,35.76,-11.06,13,88.04,1.6,13
2025/4/14 11:47:10,35.81,-11.06,13,87.99,-0.47,9
2025/4/14 11:47:13,35.77,-11.01,11,87.98,2.13,10
2025/4/14 11:47:16,35.79,-11.14,11,88.07,-0.7,12
2025/4/14 11:47:19,35.75,-11.02,12,88.04,1.64,13
2025/4/14 11:47:22,35.83,-11,13,88.06,1.36,9
2025/4/14 11:47:25,35.82,-11.14,14,87.97,-0.3,10
2025/4/14 11:47:28,35.82,-11.21,12,88.08,0.04,10
2025/4/14 11:47:31,35.75,-11.1,14,88.18,2.49,12
2025/4/14 11:47:34,35.91,-11.28,13,87.97,3.33,11
2025/4/14 11:47:37,35.73,-11.19,15,88.01,1.44,9
2025/4/14 11:47:40,35.85,-11.23,14,88.12,3,11
2025/4/14 11:47:43,35.92,-11.22,12,88.03,4.06,11
2025/4/14 11:47:46,35.88,-10.95,12,88.03,2.74,11
2025/4/14 11:47:49,35.85,-11.21,13,88.11,2.77,11
2025/4/14 11:47:52,35.89,-11.18,16,88.13,0.24,11
2025/4/14 11:47:55,35.77,-11.2,14,87.87,3.99,12
2025/4/14 11:47:58,35.84,-11.28,13,87.99,3.6,11
2025/4/14 11:48:01,35.87,-11.17,13,88.13,2.89,12
2025/4/14 11:48:04,35.96,-11.25,12,88.04,4.03,12
2025/4/14 11:48:07,35.87,-11.15,12,88.06,5.29,12
2025/4/14 11:48:10,35.89,-11.35,14,88.07,3.4,11
2025/4/14 11:48:13,35.92,-11.32,12,88,2.54,9
2025/4/14 11:48:16,35.82,-11.22,13,88.1,3.93,12
2025/4/14 11:48:19,35.9,-11.31,12,88.12,3.65,13
2025/4/14 11:48:22,35.94,-11.2,14,88.05,3.78,11
2025/4/14 11:48:25,35.86,-11.34,11,87.93,1.95,14
2025/4/14 11:48:29,35.9,-11.22,13,87.92,3.96,10
2025/4/14 11:48:32,35.79,-11.44,13,88.03,3.58,11
2025/4/14 11:48:35,36,-11.22,12,87.95,2.95,14
2025/4/14 11:48:38,35.89,-11.33,13,88.07,3.64,15
2025/4/14 11:48:41,35.96,-11.35,13,87.97,4,12
2025/4/14 11:48:44,35.98,-11.27,14,87.96,4.14,12
2025/4/14 11:48:47,35.9,-11.42,13,88.01,4.99,9
2025/4/14 11:48:50,35.92,-11.41,12,88.08,4.44,10
2025/4/14 11:48:53,35.85,-11.32,12,88,4.93,12
2025/4/14 11:48:56,35.94,-11.4,13,88.01,4.07,11
2025/4/14 11:48:59,35.93,-11.37,14,88.1,4.16,12
2025/4/14 11:49:02,35.9,-11.52,14,88.02,4.89,10
2025/4/14 11:49:05,35.86,-11.38,13,88.04,4.73,11
2025/4/14 11:49:08,35.93,-11.23,13,88.08,4.25,13
2025/4/14 11:49:11,35.94,-11.41,13,88.13,3.88,10
2025/4/14 11:49:14,35.99,-11.44,14,88.05,5.11,13
2025/4/14 11:49:17,35.82,-11.41,12,87.96,4.98,14
2025/4/14 11:49:20,35.95,-11.43,12,88.04,4.85,10
2025/4/14 11:49:23,35.84,-11.41,11,88.03,4.46,9
2025/4/14 11:49:26,35.9,-11.48,10,88.03,3.56,12
2025/4/14 11:49:29,35.81,-11.47,12,87.96,4.47,13
2025/4/14 11:49:32,35.92,-11.45,16,88.12,4.16,12
2025/4/14 11:49:35,35.94,-11.54,12,88.01,5.02,10
2025/4/14 11:49:38,35.97,-11.53,11,88.02,5.16,11
2025/4/14 11:49:41,35.98,-11.52,14,88.05,4.68,14
2025/4/14 11:49:44,35.93,-11.48,13,88.03,4.51,11
2025/4/14 11:49:47,36,-11.53,13,87.94,5.28,12
2025/4/14 11:49:50,35.99,-11.35,11,88.07,4.75,12
2025/4/14 11:49:53,35.84,-11.44,10,88.07,5.33,12
2025/4/14 11:49:56,35.96,-11.37,12,88.04,4.86,11
2025/4/14 11:49:59,36,-11.51,14,88.03,4.39,12
2025/4/14 11:50:02,35.92,-11.47,15,88.1,5.5,10
2025/4/14 11:50:05,36.03,-11.43,15,88.06,4.76,13
2025/4/14 11:50:08,36.07,-11.59,14,88.07,4.18,12
2025/4/14 11:50:11,35.98,-11.57,13,88.04,4.24,14
2025/4/14 11:50:14,36.05,-11.49,13,88.13,6.13,10
2025/4/14 11:50:17,35.95,-11.49,13,88.14,6.56,13
2025/4/14 11:50:20,35.95,-11.66,11,88.07,5.39,12
2025/4/14 11:50:23,35.88,-11.61,13,87.95,4.65,12
2025/4/14 11:50:26,35.99,-11.55,13,88.12,6.43,12
2025/4/14 11:50:29,35.98,-11.57,12,87.98,4.75,11
2025/4/14 11:50:32,35.98,-11.74,11,88.12,4.98,12
2025/4/14 11:50:35,35.98,-11.67,12,88.02,5.01,11
2025/4/14 11:50:38,35.96,-11.67,13,88.15,5.47,11
2025/4/14 11:50:41,35.92,-11.51,12,88.01,6.06,12
2025/4/14 11:50:44,35.91,-11.52,13,88.03,5.1,10
2025/4/14 11:50:47,35.97,-11.54,14,87.97,7.19,12
2025/4/14 11:50:50,35.98,-11.57,14,88.06,5.28,12
2025/4/14 11:50:53,36.03,-11.69,13,88,4.83,11
2025/4/14 11:50:59,36.04,-11.59,13,88.04,5.32,10
2025/4/14 11:51:02,35.85,-11.65,14,88.02,5.4,11
2025/4/14 11:51:05,36.58,-13.64,14,84.71,22.71,6
2025/4/14 11:51:08,36.67,-13.56,12,85.13,21.26,5
2025/4/14 11:51:11,36.62,-13.63,15,85.19,21.27,6
2025/4/14 11:51:14,36.65,-13.46,12,85.2,21.28,7
2025/4/14 11:51:17,36.67,-13.75,14,85.12,21.48,6
2025/4/14 11:51:20,36.59,-13.62,14,84.93,20.79,5
2025/4/14 11:51:23,36.64,-13.33,13,85.42,18.92,7
2025/4/14 11:51:26,36.76,-14.2,15,85.04,19.68,7
2025/4/14 11:51:29,36.42,-13.07,16,84.98,20.89,5
2025/4/14 11:51:32,36.35,-13.05,14,84.88,20.52,5
2025/4/14 11:51:35,36.42,-13,14,85.02,20.41,7
2025/4/14 11:51:38,36.4,-13.27,15,84.89,20.22,6
2025/4/14 11:51:41,36.47,-12.97,14,84.85,19.52,6
2025/4/14 11:51:44,36.43,-13.02,13,84.8,20.33,6
2025/4/14 11:51:47,36.38,-13.04,14,84.82,19.86,7
2025/4/14 11:51:50,36.45,-13.11,13,84.91,20.42,6
2025/4/14 11:51:53,36.51,-13.14,13,84.85,20.54,5
2025/4/14 11:51:56,36.43,-13.14,15,84.86,20.25,3
2025/4/14 11:51:59,36.54,-13.24,15,84.9,19.49,5
2025/4/14 11:52:02,36.44,-13.12,14,84.75,19.66,5
2025/4/14 11:52:05,36.38,-13.16,13,84.77,20,6
2025/4/14 11:52:08,36.42,-12.99,15,84.65,19.17,6
2025/4/14 11:52:11,36.53,-13.07,13,84.78,20.21,6
2025/4/14 11:52:14,37.55,-12.66,12,84.83,19.02,2
2025/4/14 11:52:17,36.44,-13.05,14,84.89,19.84,3
2025/4/14 11:52:20,36.39,-13.05,13,84.76,19.44,9
2025/4/14 11:52:23,36.53,-13.18,14,84.75,19.54,6
2025/4/14 11:52:26,36.43,-13.19,14,84.98,20.45,6
2025/4/14 11:52:29,36.47,-13.11,14,84.9,19.76,6
2025/4/14 11:52:32,36.67,-13.45,14,84.81,19.7,8
2025/4/14 11:52:35,36.44,-13.17,14,84.99,20.3,7
2025/4/14 11:52:38,36.3,-13.06,13,84.73,19.73,6
2025/4/14 11:52:41,36.48,-13.07,13,84.64,19.55,4
2025/4/14 11:52:44,36.46,-13.15,13,84.81,20.1,5
2025/4/14 11:52:47,36.42,-13.16,13,84.88,19.18,5
